player_en,player_ko,season,team,g,gs,ip,bf,h,hr,bb,ibb,so,hbp,er,source,verified_on
Warwick Saupold,워릭 서폴드,2020,한화,,,,,,,,,,,,,
Wesley Parsons,웨스 파슨스,2021,NC,,,,,,,,,,,,,
Wesley Parsons,웨스 파슨스,2022,NC,,,,,,,,,,,,,
William Crowe,윌 크로우,2024,KIA,,,,,,,,,,,,,
Wilmer Font,윌머 폰트,2021,SSG,,,,,,,,,,,,,
Wilmer Font,윌머 폰트,2022,SSG,,,,,,,,,,,,,
Yefry Ramírez,예프리 라미레즈,2022,한화,,,,,,,,,,,,,
Yohan Flande,요한 플란데,2016,삼성,,,,,,,,,,,,,
Yohan Pino,요한 피노,2016,KT,,,,,,,,,,,,,
Yunesky Maya,유네스키 마야,2015,두산,,,,,,,,,,,,,
Zach Stewart,재크 스튜어트,2015,NC,,,,,,,,,,,,,
Zach Stewart,재크 스튜어트,2016,NC,,,,,,,,,,,,,
Zeke Spruill,지크 스프루일,2016,KIA,,,,,,,,,,,,,
Ángel Sánchez,앙헬 산체스,2018,SK,,,,,,,,,,,,,
Ángel Sánchez,앙헬 산체스,2019,SK,,,,,,,,,,,,,
